,accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,accident_severity_num,accident_severity_inv,date2,date_original,vehicle_reference_x,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,vehicle_reference_y,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,accident_year_x,accident_reference_x,local_authority_ons_district,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,trunk_road_flag,accident_year_y,accident_reference_y,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane,first_point_of_impact,vehicle_left_hand_drive,generic_make_model,accident_year,accident_reference,year,month,severity,hours
89,201501BS70107,527390.0,178110.0,-0.16662,51.487599,1,Slight,2,1,2015-03-03,Tuesday,21:01,Kensington and Chelsea,E09000020,6,0,6,30.0,0,-1,-1,0,0.0,0.0,4,1,2,0,0,1,1,E01002899,3,1,03/03/2015,03/03/2015,1,9,0,12,0.0,0,0,0,0,0,2.0,1.0,6,Female,31,26 - 35,1461,2,1,-1,1,-1.0,2,1,1,1,21,5,3,0,0,0,0,0,4,1,6,,,,,,,,,,,,,,,,,2015,3,1,21
97,201501BS70117,524910.0,180350.0,-0.201527,51.508283,1,Slight,2,1,2015-10-03,Saturday,22:40,Kensington and Chelsea,E09000020,3,402,6,30.0,3,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002883,3,1,10/03/2015,10/03/2015,1,4,0,17,0.0,8,0,0,0,0,1.0,1.0,6,Male,21,21 - 25,124,1,4,-1,1,-1.0,1,1,1,1,21,5,3,0,0,0,0,0,4,1,3,,,,,,,,,,,,,,,,,2015,10,1,22
110,201501BS70134,524350.0,181230.0,-0.209282,51.516315,1,Slight,2,1,2015-03-18,Wednesday,20:14,Kensington and Chelsea,E09000020,4,450,6,30.0,6,4,6,0,0.0,5.0,4,1,1,0,0,1,1,E01002879,3,1,18/03/2015,18/03/2015,1,9,0,9,0.0,8,0,0,0,0,4.0,1.0,6,Male,29,26 - 35,2967,2,6,-1,1,-1.0,2,1,1,1,19,4,3,0,0,0,0,0,3,1,1,,,,,,,,,,,,,,,,,2015,3,1,20
117,201501BS70141,526890.0,177850.0,-0.17391,51.485375,1,Slight,2,2,2015-03-22,Sunday,01:05,Kensington and Chelsea,E09000020,3,3217,6,30.0,0,-1,-1,0,0.0,0.0,4,1,1,0,0,1,1,E01002844,3,1,22/03/2015,22/03/2015,1,3,0,18,0.0,0,0,0,0,0,1.0,1.0,6,Female,30,26 - 35,49,1,11,-1,1,-1.0,1,1,1,2,30,6,3,0,0,0,0,0,3,1,8,,,,,,,,,,,,,,,,,2015,3,2,1
126,201501BS70153,527300.0,179210.0,-0.167519,51.497505,1,Slight,2,1,2015-03-28,Saturday,19:45,Kensington and Chelsea,E09000020,3,4,6,30.0,3,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002819,3,1,28/03/2015,28/03/2015,1,5,0,18,0.0,8,0,0,0,0,1.0,1.0,6,Male,29,26 - 35,-1,-1,-1,-1,-1,-1.0,1,1,1,1,29,6,3,0,0,0,0,0,5,-1,-1,,,,,,,,,,,,,,,,,2015,3,1,19
140,201501BS70172,525140.0,178520.0,-0.198863,51.491786,1,Slight,2,2,2015-10-04,Sunday,21:05,Kensington and Chelsea,E09000020,3,3220,6,30.0,3,4,6,0,0.0,4.0,4,1,1,0,0,1,1,E01002848,3,1,10/04/2015,10/04/2015,1,5,0,18,0.0,2,0,10,1,10,1.0,1.0,6,Male,26,26 - 35,998,1,6,-1,1,-1.0,1,1,1,1,26,6,3,0,0,0,0,0,5,1,2,,,,,,,,,,,,,,,,,2015,10,2,21
150,201501BS70185,525310.0,179430.0,-0.196093,51.499927,1,Slight,2,1,2015-02-01,Sunday,23:32,Kensington and Chelsea,E09000020,3,315,6,30.0,3,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002817,3,1,02/01/2015,02/01/2015,1,3,0,18,0.0,8,0,0,0,0,1.0,1.0,1,Male,22,21 - 25,108,1,1,-1,1,-1.0,1,1,1,1,22,5,3,0,0,0,0,0,3,1,4,,,,,,,,,,,,,,,,,2015,2,1,23
161,201501BS70198,523860.0,182490.0,-0.215898,51.527746,1,Serious,2,1,2015-04-17,Friday,23:20,Westminster,E09000033,3,404,6,30.0,6,2,4,450,0.0,5.0,4,1,1,0,0,1,1,E01002852,2,2,17/04/2015,17/04/2015,1,3,0,18,0.0,8,0,0,0,0,1.0,1.0,6,Male,18,16 - 20,124,1,7,-1,1,-1.0,1,1,1,1,18,4,2,0,0,0,0,0,3,1,2,,,,,,,,,,,,,,,,,2015,4,2,23
163,201501BS70200,526030.0,177530.0,-0.186404,51.482691,1,Slight,2,1,2015-04-16,Thursday,21:20,Kensington and Chelsea,E09000020,3,304,6,30.0,3,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002913,3,1,16/04/2015,16/04/2015,1,9,0,9,0.0,1,0,0,0,0,3.0,1.0,6,Male,31,26 - 35,1995,2,1,-1,1,-1.0,2,1,1,1,45,7,3,0,0,0,0,0,4,1,3,,,,,,,,,,,,,,,,,2015,4,1,21
166,201501BS70203,525890.0,179710.0,-0.187642,51.502314,1,Slight,1,1,2015-04-16,Thursday,23:01,Kensington and Chelsea,E09000020,3,315,6,30.0,3,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002889,3,1,16/04/2015,16/04/2015,1,9,0,9,0.0,1,0,0,0,0,1.0,1.0,6,Male,26,26 - 35,-1,-1,-1,-1,1,-1.0,1,1,3,2,19,4,3,5,4,0,0,2,0,1,6,,,,,,,,,,,,,,,,,2015,4,1,23
174,201501BS70213,526210.0,177410.0,-0.183856,51.481573,1,Slight,2,1,2015-04-24,Friday,18:48,Kensington and Chelsea,E09000020,3,3220,6,30.0,0,-1,-1,0,0.0,0.0,1,1,1,0,0,1,1,E01002913,3,1,24/04/2015,24/04/2015,1,9,0,14,0.0,0,0,0,0,0,3.0,1.0,1,Male,28,26 - 35,1597,1,8,-1,1,-1.0,2,1,1,1,32,6,3,0,0,0,0,0,2,1,8,,,,,,,,,,,,,,,,,2015,4,1,18
186,201501BS70232,527950.0,177770.0,-0.158682,51.484418,1,Slight,2,1,2015-03-05,Thursday,02:10,Kensington and Chelsea,E09000020,3,3212,6,30.0,3,4,6,0,0.0,1.0,4,1,1,0,0,1,1,E01002900,3,1,03/05/2015,03/05/2015,1,9,0,6,0.0,1,0,0,0,0,3.0,1.0,6,Female,30,26 - 35,1339,1,13,-1,-1,-1.0,2,1,2,2,21,5,3,0,0,1,0,0,9,-1,-1,,,,,,,,,,,,,,,,,2015,3,1,2
193,201501BS70240,527750.0,178630.0,-0.161249,51.492191,1,Slight,2,1,2015-04-25,Saturday,18:00,Kensington and Chelsea,E09000020,5,0,6,30.0,0,-1,-1,0,0.0,0.0,1,1,1,0,0,1,2,E01002859,3,1,25/04/2015,25/04/2015,1,2,0,4,0.0,0,0,0,0,0,1.0,1.0,2,Female,33,26 - 35,125,1,4,-1,1,-1.0,1,1,1,2,33,6,3,0,0,0,0,0,2,1,5,,,,,,,,,,,,,,,,,2015,4,1,18
201,201501BS70249,524170.0,181640.0,-0.21173,51.520039,1,Slight,2,1,2015-12-05,Saturday,01:18,Kensington and Chelsea,E09000020,4,450,6,30.0,6,4,5,0,0.0,1.0,4,1,1,0,0,1,1,E01002909,3,1,12/05/2015,12/05/2015,1,8,0,18,0.0,8,0,0,0,0,3.0,1.0,1,Male,31,26 - 35,1968,2,2,-1,1,-1.0,2,1,1,1,20,4,3,0,0,0,0,0,3,1,1,,,,,,,,,,,,,,,,,2015,12,1,1
206,201501BS70254,526170.0,177690.0,-0.184331,51.484098,1,Slight,2,1,2015-05-05,Tuesday,20:45,Kensington and Chelsea,E09000020,3,308,6,30.0,6,2,3,3220,0.0,5.0,4,1,1,0,0,1,2,E01002912,3,1,05/05/2015,05/05/2015,1,9,0,7,0.0,8,0,0,0,0,3.0,1.0,6,Male,28,26 - 35,-1,-1,-1,-1,1,-1.0,2,1,2,2,-1,-1,3,0,0,2,0,0,8,-1,-1,,,,,,,,,,,,,,,,,2015,5,1,20
207,201501BS70255,526500.0,178940.0,-0.179134,51.495258,1,Slight,2,1,2015-05-13,Wednesday,19:00,Kensington and Chelsea,E09000020,3,4,3,30.0,6,2,5,0,0.0,5.0,1,1,1,0,0,1,1,E01002835,3,1,13/05/2015,13/05/2015,1,3,0,18,0.0,1,0,0,0,0,3.0,1.0,6,Male,28,26 - 35,124,1,4,-1,1,-1.0,1,1,1,1,28,6,3,0,0,0,0,0,3,1,6,,,,,,,,,,,,,,,,,2015,5,1,19
213,201501BS70262,526750.0,178290.0,-0.175768,51.489361,1,Slight,2,2,2015-05-15,Friday,21:00,Kensington and Chelsea,E09000020,3,308,6,30.0,3,2,5,0,0.0,5.0,4,1,1,0,0,1,1,E01002838,3,1,15/05/2015,15/05/2015,1,9,0,9,0.0,8,0,0,0,0,4.0,1.0,6,Male,21,21 - 25,-1,-1,-1,-1,1,-1.0,1,1,2,1,53,8,3,0,0,1,0,0,9,1,8,,,,,,,,,,,,,,,,,2015,5,2,21
229,201501BS70279,523910.0,181390.0,-0.215564,51.51785,1,Slight,2,1,2015-05-21,Thursday,21:55,Kensington and Chelsea,E09000020,4,412,1,30.0,2,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002878,3,1,21/05/2015,21/05/2015,1,2,0,18,0.0,8,0,0,0,0,1.0,1.0,6,Male,25,21 - 25,49,1,13,-1,-1,-1.0,1,1,1,1,25,5,3,0,0,0,0,0,2,-1,-1,,,,,,,,,,,,,,,,,2015,5,1,21
243,201501BS70294,523850.0,181450.0,-0.216407,51.518402,1,Slight,2,1,2015-05-29,Friday,19:09,Kensington and Chelsea,E09000020,4,412,1,30.0,2,4,6,0,0.0,0.0,1,1,1,0,0,1,1,E01002909,3,1,29/05/2015,29/05/2015,1,9,0,9,0.0,8,0,0,0,0,3.0,1.0,6,Male,31,26 - 35,1796,1,9,-1,1,-1.0,2,1,1,1,23,5,3,0,0,0,0,0,3,-1,-1,,,,,,,,,,,,,,,,,2015,5,1,19
258,201501BS70312,525450.0,179990.0,-0.193878,51.504928,1,Slight,2,1,2015-06-06,Saturday,18:08,Kensington and Chelsea,E09000020,3,4204,6,30.0,3,4,6,0,0.0,0.0,1,1,1,0,0,1,1,E01002826,3,1,06/06/2015,06/06/2015,1,3,0,14,0.0,8,0,0,0,0,4.0,1.0,2,Male,34,26 - 35,125,1,2,-1,1,-1.0,1,1,1,1,34,6,3,0,0,0,0,0,3,1,2,,,,,,,,,,,,,,,,,2015,6,1,18
267,201501BS70325,527640.0,178370.0,-0.162927,51.48988,1,Slight,1,1,2015-09-06,Sunday,18:59,Kensington and Chelsea,E09000020,3,3217,6,30.0,0,-1,-1,0,0.0,1.0,1,1,1,0,6,1,1,E01002903,3,1,09/06/2015,09/06/2015,1,3,0,14,0.0,0,0,0,0,0,3.0,1.0,6,Male,31,26 - 35,124,1,7,-1,1,-1.0,1,1,1,1,31,6,3,0,0,0,0,0,3,1,6,,,,,,,,,,,,,,,,,2015,9,1,18
268,201501BS70326,526950.0,177500.0,-0.173172,51.482216,1,Slight,2,1,2015-10-06,Tuesday,18:57,Kensington and Chelsea,E09000020,3,3212,6,30.0,6,2,3,3220,0.0,5.0,1,1,1,0,0,1,1,,3,1,10/06/2015,10/06/2015,1,3,0,12,0.0,2,0,0,0,0,1.0,1.0,6,Male,26,26 - 35,124,1,3,-1,1,-1.0,1,1,1,1,26,6,3,0,0,0,0,0,3,1,4,,,,,,,,,,,,,,,,,2015,10,1,18
269,201501BS70327,523580.0,181170.0,-0.220394,51.515945,1,Slight,2,2,2015-11-06,Friday,02:45,Hammersmith and Fulham,E09000013,3,3220,1,30.0,1,4,3,40,0.0,0.0,4,1,1,0,0,1,1,E01002877,3,1,11/06/2015,11/06/2015,1,9,0,9,0.0,8,1,9,0,0,4.0,1.0,6,Male,21,21 - 25,2987,2,2,-1,1,-1.0,1,1,1,1,21,5,3,0,0,0,0,0,9,1,1,,,,,,,,,,,,,,,,,2015,11,2,2
270,201501BS70328,526090.0,177590.0,-0.185519,51.483217,1,Slight,2,1,2015-06-14,Sunday,06:00,Kensington and Chelsea,E09000020,3,308,6,30.0,6,2,3,3220,0.0,5.0,1,1,1,0,0,1,1,E01002912,3,1,14/06/2015,14/06/2015,1,9,0,18,0.0,8,0,0,0,0,4.0,1.0,2,Male,32,26 - 35,973,1,13,-1,1,-1.0,1,1,1,1,32,6,3,0,0,0,0,0,9,1,5,,,,,,,,,,,,,,,,,2015,6,1,6
278,201501BS70336,524920.0,178750.0,-0.201949,51.493902,1,Slight,1,1,2015-06-20,Saturday,00:44,Kensington and Chelsea,E09000020,3,3220,6,30.0,6,2,5,0,0.0,5.0,4,1,1,0,0,1,1,E01002814,3,1,20/06/2015,20/06/2015,1,3,0,18,0.0,1,1,0,0,0,4.0,1.0,6,Male,28,26 - 35,125,1,4,-1,1,-1.0,1,1,1,1,28,6,3,0,0,0,0,0,3,1,5,,,,,,,,,,,,,,,,,2015,6,1,0
294,201501BS70355,526930.0,177920.0,-0.173309,51.485995,1,Slight,3,1,2015-06-25,Thursday,18:05,Kensington and Chelsea,E09000020,5,0,6,30.0,0,-1,-1,0,0.0,4.0,1,1,1,0,0,1,1,E01002910,3,1,25/06/2015,25/06/2015,1,9,0,2,0.0,0,0,0,0,0,3.0,1.0,6,Female,32,26 - 35,2494,8,-1,-1,1,-1.0,2,1,1,2,55,8,3,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,2015,6,1,18
297,201501BS70360,526860.0,179670.0,-0.173689,51.501738,1,Slight,2,1,2015-06-30,Tuesday,01:11,Westminster,E09000033,3,315,6,30.0,3,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01004689,3,1,30/06/2015,30/06/2015,1,9,0,9,0.0,1,0,0,0,0,3.0,1.0,6,Male,29,26 - 35,-1,-1,-1,-1,1,-1.0,2,1,1,1,48,8,3,0,0,0,0,0,9,1,3,,,,,,,,,,,,,,,,,2015,6,1,1
301,201501BS70364,525590.0,178180.0,-0.192506,51.488631,1,Slight,2,1,2015-01-07,Wednesday,00:21,Kensington and Chelsea,E09000020,3,3218,6,30.0,6,2,3,3220,0.0,5.0,4,1,1,0,0,1,1,E01002894,3,1,01/07/2015,01/07/2015,1,9,0,9,0.0,8,0,0,0,0,3.0,1.0,6,Male,21,21 - 25,1242,1,15,-1,1,-1.0,2,1,1,1,46,8,3,0,0,0,0,0,3,1,2,,,,,,,,,,,,,,,,,2015,1,1,0
350,201501BS70427,526100.0,177760.0,-0.185314,51.484743,1,Slight,2,1,2015-06-27,Saturday,19:30,Kensington and Chelsea,E09000020,3,3220,2,30.0,0,-1,-1,0,0.0,0.0,1,1,1,0,0,1,2,E01002896,3,1,27/06/2015,27/06/2015,1,8,0,4,0.0,0,0,0,0,0,2.0,1.0,1,Male,35,26 - 35,1797,8,5,-1,1,-1.0,1,1,1,1,35,6,3,0,0,0,0,0,8,1,4,,,,,,,,,,,,,,,,,2015,6,1,19
354,201501BS70431,527240.0,179160.0,-0.168401,51.497069,1,Slight,2,1,2015-07-28,Tuesday,19:32,Kensington and Chelsea,E09000020,3,4,6,30.0,3,4,6,0,0.0,4.0,4,1,1,0,0,1,1,E01002819,3,1,28/07/2015,28/07/2015,1,3,0,18,0.0,8,0,0,0,0,1.0,1.0,6,Male,29,26 - 35,125,1,12,-1,1,-1.0,1,1,1,1,29,6,3,0,0,0,0,0,3,1,6,,,,,,,,,,,,,,,,,2015,7,1,19
362,201501BS70441,525330.0,178370.0,-0.196181,51.490396,1,Slight,2,1,2015-02-08,Sunday,21:44,Kensington and Chelsea,E09000020,3,3220,2,30.0,0,-1,-1,0,0.0,4.0,4,1,1,0,0,1,1,E01002846,3,1,02/08/2015,02/08/2015,1,9,0,12,0.0,0,0,0,0,0,3.0,1.0,6,Male,27,26 - 35,2143,2,1,-1,1,-1.0,2,1,1,1,23,5,3,0,0,0,0,0,3,1,5,,,,,,,,,,,,,,,,,2015,2,1,21
369,201501BS70449,526100.0,178880.0,-0.184914,51.494808,1,Slight,1,1,2015-04-08,Wednesday,18:50,Kensington and Chelsea,E09000020,3,4,6,30.0,6,4,6,0,0.0,0.0,1,1,1,0,0,1,1,E01002835,3,1,04/08/2015,04/08/2015,1,3,0,18,0.0,8,0,0,0,0,1.0,1.0,6,Male,21,21 - 25,125,1,-1,-1,1,-1.0,1,1,3,1,32,6,3,5,3,0,0,2,0,1,7,,,,,,,,,,,,,,,,,2015,4,1,18
371,201501BS70451,525380.0,178820.0,-0.195302,51.494429,1,Slight,2,1,2015-07-28,Tuesday,19:40,Kensington and Chelsea,E09000020,3,4,3,30.0,6,2,3,3220,0.0,5.0,4,1,1,0,0,1,1,E01002851,3,1,28/07/2015,28/07/2015,1,9,0,16,0.0,1,0,0,0,0,2.0,1.0,6,Male,32,26 - 35,1998,1,17,-1,1,-1.0,1,1,1,1,32,6,3,0,0,0,0,0,9,1,10,,,,,,,,,,,,,,,,,2015,7,1,19
372,201501BS70452,524610.0,179030.0,-0.206313,51.496486,1,Slight,2,1,2015-09-08,Tuesday,18:22,Kensington and Chelsea,E09000020,3,315,6,30.0,0,-1,-1,0,0.0,0.0,1,1,1,0,0,1,1,E01002867,3,1,09/08/2015,09/08/2015,1,3,0,18,0.0,0,0,0,0,0,1.0,1.0,6,Male,20,16 - 20,124,1,12,-1,1,-1.0,1,1,1,1,20,4,3,0,0,0,0,0,3,1,3,,,,,,,,,,,,,,,,,2015,9,1,18
375,201501BS70457,524020.0,179970.0,-0.214478,51.505064,1,Slight,2,1,2015-07-28,Tuesday,19:35,Kensington and Chelsea,E09000020,3,402,6,30.0,0,-1,-1,0,0.0,0.0,4,1,1,0,0,1,2,E01002869,3,1,28/07/2015,28/07/2015,1,3,0,18,0.0,0,0,0,0,0,1.0,1.0,6,Male,29,26 - 35,-1,-1,-1,-1,1,-1.0,1,1,1,1,29,6,3,0,0,0,0,0,3,1,3,,,,,,,,,,,,,,,,,2015,7,1,19
384,201501BS70468,525120.0,178540.0,-0.199144,51.49197,1,Slight,2,1,2015-06-08,Monday,22:45,Kensington and Chelsea,E09000020,3,3220,2,30.0,0,-1,-1,0,0.0,0.0,4,1,1,0,0,1,2,E01002848,3,1,06/08/2015,06/08/2015,1,9,0,18,0.0,0,0,0,0,0,4.0,1.0,6,Male,31,26 - 35,1995,2,6,-1,1,-1.0,1,1,1,1,31,6,3,0,0,0,0,0,9,1,2,,,,,,,,,,,,,,,,,2015,6,1,22
389,201501BS70475,525420.0,180490.0,-0.194133,51.509428,1,Slight,2,1,2015-08-16,Sunday,21:55,Kensington and Chelsea,E09000020,3,402,6,30.0,6,2,3,402,0.0,5.0,4,1,1,0,0,1,1,E01002827,3,1,16/08/2015,16/08/2015,1,9,0,9,0.0,8,0,0,0,0,4.0,1.0,6,Male,35,26 - 35,1796,1,2,-1,1,-1.0,2,1,1,1,20,4,3,0,0,0,0,0,3,1,2,,,,,,,,,,,,,,,,,2015,8,1,21
403,201501BS70492,526680.0,177630.0,-0.177012,51.483445,1,Slight,2,2,2015-08-23,Sunday,04:15,Kensington and Chelsea,E09000020,3,3217,6,30.0,3,4,6,0,0.0,1.0,4,1,1,0,0,1,1,E01002911,3,1,23/08/2015,23/08/2015,1,9,0,18,0.0,8,0,10,0,0,3.0,1.0,6,Male,19,16 - 20,1995,2,4,-1,1,-1.0,1,1,1,1,19,4,3,0,0,0,0,0,9,1,2,,,,,,,,,,,,,,,,,2015,8,2,4
406,201501BS70496,523940.0,179820.0,-0.215683,51.503733,1,Slight,3,1,2015-08-26,Wednesday,21:45,Kensington and Chelsea,E09000020,3,3220,6,30.0,3,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002869,3,1,26/08/2015,26/08/2015,1,9,0,18,0.0,1,0,0,0,0,1.0,1.0,6,Male,33,26 - 35,1796,1,12,-1,1,-1.0,1,1,1,1,33,6,3,0,0,0,0,0,9,1,4,,,,,,,,,,,,,,,,,2015,8,1,21
